7.47	7.65	7.32	7.33	47432958	355989093.1	70821201.92	70956267.32	-0.018742	-0.018742	653.918177	510.772187
7.31	7.42	7.19	7.25	52811781	387244747.1	70048255.65	70181846.94	-0.010914	-0.010914	646.781281	505.197593
7.27	7.33	7.06	7.16	54276961	389284135.3	69178691.1	69310624.01	-0.012414	-0.012414	638.752272	498.926175
7.16	7.41	7.08	7.41	84603778	611933922	71594148.19	71730687.7	0.034916	0.034916	661.055074	516.346781
7.35	7.61	7.32	7.53	107797678	804854283.7	72753567.6	72892318.27	0.016194	0.016194	671.76042	524.708673
7.5	7.57	7.43	7.46	48293469	361340120.8	72077239.61	72214700.44	-0.009296	-0.009296	665.515635	519.830903
7.42	7.71	7.41	7.52	55986664	423747976	72656949.31	72795515.72	0.008043	0.008043	670.868308	524.011848
7.51	7.56	7.34	7.46	39223843	292442563.5	72077239.61	72214700.44	-0.007979	-0.007979	665.515635	519.830903
7.4	7.56	7.35	7.37	33783392	251290173.5	71207675.06	71343477.51	-0.012064	-0.012064	657.486626	513.559484
7.35	7.68	7.22	7.58	88222915	659817183.3	73236659.01	73376331.01	0.028494	0.028494	676.22098	528.192794
7.56	7.68	7.47	7.51	48552724	367212801.9	72560331.03	72698713.17	-0.009235	-0.009235	669.976195	523.315024
7.55	7.8	7.51	7.79	86699402	669107849.5	75265642.97	75409184.5	0.037284	0.037284	694.955335	542.826104
7.8	7.96	7.77	7.9	89686473	707734263.5	76328444.09	76474012.53	0.014121	0.014121	704.768568	550.49117
7.85	7.88	7.52	7.55	105304988	806433456.1	72946804.16	73085923.36	-0.044304	-0.044304	673.544644	526.102321
7.55	7.7	7.55	7.65	35502938	270555620.4	73912987	74053948.84	0.013245	0.013245	682.465765	533.070564
7.61	7.75	7.52	7.56	50097591	382524500.9	73043422.45	73182725.91	-0.011765	-0.011765	674.436756	526.799145
7.59	7.7	7.49	7.68	41273168	312944452.1	74202841.85	74344356.48	0.015873	0.015873	685.142101	535.161037
7.66	7.85	7.61	7.79	63644836	493316319.2	75265642.97	75409184.5	0.014323	0.014323	694.955335	542.826104
7.77	7.82	7.61	7.62	52243987	402667920.1	73623132.15	73763541.2	-0.021823	-0.021823	679.789429	530.980091
7.6	7.65	7.38	7.38	80336512	597938925	71304293.34	71440280.06	-0.031496	-0.031496	658.378738	514.256309
7.42	7.72	7.38	7.59	82044478	619277371.5	73333277.3	73473133.55	0.028455	0.028455	677.113092	528.889618
7.6	7.81	7.53	7.7	126142979	974568394.5	74396078.42	74537961.58	0.014493	0.014493	686.926326	536.554685
7.72	8.03	7.72	7.85	178925069	1417375385	75845352.67	75989999.79	0.019481	0.019481	700.308007	547.007049
7.56	7.8	7.43	7.7	91214503	696139737.2	74396078.42	74537961.58	-0.019108	-0.019108	686.926326	536.554685
7.65	7.72	7.54	7.7	87626501	666482205.2	74396078.42	74537961.58	0	0	686.926326	536.554685
7.65	7.82	7.61	7.82	54176079	420041586.5	75555497.82	75699592.15	0.015584	0.015584	697.631671	544.916576
